profileUrl,profileImage,username,comment,date,like,id,negative,neutral,positive,sentiment
https://www.tiktok.com/@_mamajun,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/5b05e72bec04df346df659e56a3956e2.jpg?lk3s=30310797&x-expires=1713416400&x-signature=Juy1f9cxhyEkpMDDzEJUqzsgBzk%3D,💞💜MAMA JUN_ M00011💜💞,zarina paling besar dugaan sbb ada 2 anak mcm ni..syurga bgmu..insyaAllah,07-05-2023,9,1,0.12107116,0.818660021,0.060268831,neutral
https://www.tiktok.com/@dafiiaja_72,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/838550e168d790cb7a82973073a3deac~c5_100x100.jpg?lk3s=30310797&x-expires=1713416400&x-signature=OpTWht8%2BbEx%2FBZscYuSIIWLtAiQ%3D,dafi11,semoga azil cepat sembuh🤲🏻,22-05-2023,6,2,0.063911855,0.797687531,0.138400644,neutral
https://www.tiktok.com/@userrfy_23,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8380e4db019ee9ffe383f7692e42ff58~c5_100x100.jpg?lk3s=30310797&x-expires=1713416400&x-signature=%2BpJ5CzBO6RZbM1u4Fx9NWEaiUPg%3D,𝕙𝕘𝕒.𝕟𝕗𝕤𝕜𝕥𝕞𝕒🌊,tantrum😁,03-11-2023,0,3,0.006659045,0.334666103,0.658674896,positive
https://www.tiktok.com/@youraa.youraa,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/eb067276d63662cbebf755094fe4824f~c5_100x100.jpg?lk3s=30310797&x-expires=1713416400&x-signature=iSxufHSbPkjn7dpCevPEHqxEi70%3D,لوفيتا,ha azal azil tuh serinh jumpa di facebook,27-03-2024,0,4,0.122017935,0.837871134,0.040110942,neutral
https://www.tiktok.com/@mamaanisaiman,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/52c697503de76529b16b1e41cd91c2e1.jpg?lk3s=30310797&x-expires=1713416400&x-signature=mIzI%2FyBHk2GW4Sohvli8Pxdz3FY%3D,𝓟𝓮𝓷 𝓶𝓮𝓻𝓪𝓱,"sy bila doc diagnose 2ank sy autisme spectrum disorder, sy jdkn kak zarina ni sbg idola utk sy terus kuat",02-12-2023,6,5,0.405334115,0.575364769,0.019301124,neutral
https://www.tiktok.com/@syifaazizah_,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/252b7698a2346f474196860d1c93caf0~c5_100x100.jpg?lk3s=30310797&x-expires=1713416400&x-signature=LV1LDlObIfP6%2B9TIXachuUBov94%3D,‧₊˚✿ syifaaa˙ᵕ˙,Ibu ini sabarrrnyaa MasyaAllah 🥹 dy artis malaysia kan,16-02-2023,90,6,0.093320027,0.847860515,0.058819439,neutral
https://www.tiktok.com/@mahsuri_02,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/edf8919cbff84f3f6187be630b2e42dc.jpg?lk3s=30310797&x-expires=1713416400&x-signature=BJ3ZkVTIXTlSnPdA5TjxWN%2BtH18%3D,Mahsuri_,zarina benar2 hebat,01-12-2023,2,7,0.122419469,0.762609124,0.114971444,neutral
https://www.tiktok.com/@halifahmatnasir,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/2c87a786861511e14cb4f9e1d2798ad1~c5_100x100.jpg?lk3s=30310797&x-expires=1713416400&x-signature=bZqvwhKkHR4%2BXjhojHvMmxW28So%3D,halifahmatnasir,sabar zarina ini..anak2 ini akan bawa ibu bapa kesyurga..bukan mudah menjaga anak2 cam ini..🤲🤲🤲,28-01-2024,3,8,0.125712976,0.774933636,0.099353373,neutral
https://www.tiktok.com/@boyipoh78,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/0b589ed6c1e2e8e03f30d135b76f95bd~c5_100x100.jpg?lk3s=30310797&x-expires=1713416400&x-signature=rw5miFynOEG0VT3fKoGtQvyWiec%3D,Adlan Farazi (Boy Ipoh),zarina zainuddinn ibu terbaik,26-05-2023,2,9,0.131435454,0.795875311,0.072689213,neutral
https://www.tiktok.com/@alvirexh,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3b8a4e2ae73850a50d7cac42377f9a8d~c5_100x100.jpg?lk3s=30310797&x-expires=1713416400&x-signature=2fPNSIfyyaX%2BW9vSQB8AyNZkLig%3D,alpiww,2x 😭,08-10-2023,21,10,0.32017538,0.536061466,0.143763229,neutral
